info:    Executing command group template list
info:    Listing gallery resource group templates
data:    algebraix-data                                  algebraix-data.algebraix-analyticsalgebraixanalytics_std.1.50.126                                                        
data:    algebraix-data                                  algebraix-data.algebraix-analytics-enterprisealgebraixanalytics_ent.1.50.41                                              
data:    AliAhmadi                                       AliAhmadi.CourseraUWIntroductiontoDataScience.0.2.8-preview                                                              
data:    Alison                                          Alison.PrimeChallenge.0.2.2-preview                                                                                      
data:    alldigital-brevity                              alldigital-brevity.alldigital-brevity-microsoft-media-servicesbrevity-uploader-with-microsoft-media-services-ARM.1.50.105
data:    alldigital-brevity                              alldigital-brevity.alldigital-brevity-microsoft-media-servicesbrevity-uploader-with-microsoft-media-services.1.50.105    
data:    alldigital-brevity                              alldigital-brevity.alldigital-brevity-uploaderbrevity-uploader.1.50.83                                                   
data:    Alp                                             Alp.DataScienceToolkit.0.2.8-preview                                                                                     
data:    altiar                                          altiar.ecmenterprise.1.50.189                                                                                            
data:    AnaMartnez                                      AnaMartnez.Magword.0.2.2-preview                                                                                         
data:    AndreySvininykh                                 AndreySvininykh.Jetty9WebServerUbuntuServer12042LTS.0.2.8-preview                                                        
data:    AndreySvininykh                                 AndreySvininykh.Openbravo30MP20UbuntuServer12042LTS.0.2.7-preview                                                        
data:    appcitoinc                                      appcitoinc.appcito-pep-marketplaceapcto-pep-azure.1.50.133                                                               
data:    AppDirect                                       AppDirect.osCommerce.0.4.6                                                                                               
data:    AppDirect                                       AppDirect.OWA.0.4.6                                                                                                      
data:    AppDirect                                       AppDirect.Magento.0.3.7                                                                                                  
data:    AppDirect                                       AppDirect.Concrete5.0.1.8                                                                                                
data:    AppDirect                                       AppDirect.Piwik.0.4.7                                                                                                    
data:    AppDirect                                       AppDirect.SugarCRM.0.4.6                                                                                                 
data:    AppDirect                                       AppDirect.OpenCart.0.4.6                                                                                                 
data:    AppDirect                                       AppDirect.Moodle.0.2.5                                                                                                   
data:    AppDirect                                       AppDirect.Pligg.0.5.3                                                                                                    
data:    AppDirect                                       AppDirect.OpenAtrium.0.1.8                                                                                               
data:    appex-networks                                  appex-networks.cloudexpressstandard-byol.1.50.177                                                                        
data:    appistry                                        appistry.genomepilotonebox-genome-pilot.1.50.158                                                                         
data:    apprenda                                        apprenda.win2k12r2_dcenter_apprenda_5_5_exp_sql_2012_expapprenda_paas_5-5_express.1.50.145                               
data:    apprenda                                        apprenda.win2k12r2_dcenter_apprenda_5_5_exp_sql_2012_expapprenda_paas_5-5_express-ARM.1.50.145                           
data:    appveyorci                                      appveyorci.appveyor-ciexpress.1.50.98                                                                                    
data:    appzero                                         appzero.appzeroappzero.1.50.131                                                                                          
data:    appzero                                         appzero.appzeroappzero-ARM.1.50.131                                                                                      
data:    Aptitude                                        Aptitude.MVCForum.0.2.6                                                                                                  
data:    arangodb                                        arangodb.arangodbarangodb254-ARM.1.50.96                                                                                 
data:    arangodb                                        arangodb.arangodbarangodb254.1.50.96                                                                                     
data:    aras                                            aras.aras-innovator-plm-suitearas_innovator_plm_suite-ARM.1.50.348                                                       
data:    aras                                            aras.aras-innovator-plm-suitearas_innovator_plm_suite.1.50.348                                                           
data:    AsuncinCordn                                    AsuncinCordn.MagenWord.0.2.2-preview                                                                                     
data:    attunity_cloudbeam                              attunity_cloudbeam.cloudbeam-dw-byolattunity-cloudbeam-for-microsoft-azure-dw-byol.1.50.218                              
data:    auriq-systems                                   auriq-systems.essentiadata-viewer.1.50.205                                                                               
